,ABAIARA,ACARAPE,ACARAÚ,ACOPIARA,AIUABA,ALCÂNTARAS,ALTANEIRA,ALTO SANTO,AMONTADA,ANTONINA DO NORTE,APUIARÉS,AQUIRAZ,ARACATI,ARACOIABA,ARARENDÁ,ARARIPE,ARATUBA,ARNEIROZ,ASSARÉ,AURORA,BAIXIO,BANABUIÚ,BARBALHA,BARREIRA,BARRO,BARROQUINHA,BATURITÉ,BEBERIBE,BELA CRUZ,BOA VIAGEM,BREJO SANTO,CAMOCIM,CAMPOS SALES,CANINDÉ,CAPISTRANO,CARIDADE,CARIRÉ,CARIRIAÇU,CARIÚS,CARNAUBAL,CASCAVEL,CATARINA,CATUNDA,CAUCAIA,CEDRO,CHAVAL,CHORÓ,CHOROZINHO,COREAÚ,CRATEÚS,CRATO,CROATÁ,CRUZ,DEPUTADO IRAPUAN PINHEIRO,ERERÊ,EUSÉBIO,FARIAS BRITO,FORQUILHA,FORTALEZA,FORTIM,FRECHEIRINHA,GENERAL SAMPAIO,GRAÇA,GRANJA,GRANJEIRO,GROAÍRAS,GUAIÚBA,GUARACIABA DO NORTE,GUARAMIRANGA,HIDROLÂNDIA,HORIZONTE,IBARETAMA,IBIAPINA,IBICUITINGA,ICAPUÍ,ICÓ,IGUATU,INDEPENDÊNCIA,IPAPORANGA,IPAUMIRIM,IPU,IPUEIRAS,IRACEMA,IRAUÇUBA,ITAIÇABA,ITAITINGA,ITAPAGÉ,ITAPIPOCA,ITAPIÚNA,ITAREMA,ITATIRA,JAGUARETAMA,JAGUARIBARA,JAGUARIBE,JAGUARUANA,JARDIM,JATI,JIJOCA DE JERICOACOARA,JUAZEIRO DO NORTE,JUCÁS,LAVRAS DA MANGABEIRA,LIMOEIRO DO NORTE,MADALENA,MARACANAÚ,MARANGUAPE,MARCO,MARTINÓPOLE,MASSAPÊ,MAURITI,MERUOCA,MILAGRES,MILHÃ,MIRAÍMA,MISSÃO VELHA,MOMBAÇA,MONSENHOR TABOSA,MORADA NOVA,MORAÚJO,MORRINHOS,MUCAMBO,MULUNGU,NOVA OLINDA,NOVA RUSSAS,NOVO ORIENTE,OCARA,ORÓS,PACAJUS,PACATUBA,PACOTI,PACUJÁ,PALHANO,PALMÁCIA,PARACURU,PARAIPABA,PARAMBU,PARAMOTI,PEDRA BRANCA,PENAFORTE,PENTECOSTE,PEREIRO,PINDORETAMA,PIQUET CARNEIRO,PIRES FERREIRA,PORANGA,PORTEIRAS,POTENGI,POTIRETAMA,QUITERIANÓPOLIS,QUIXADÁ,QUIXELÔ,QUIXERAMOBIM,QUIXERÉ,REDENÇÃO,RERIUTABA,RUSSAS,SABOEIRO,SALITRE,SANTANA DO ACARAÚ,SANTANA DO CARIRI,SANTA QUITÉRIA,SÃO BENEDITO,SÃO GONÇALO DO AMARANTE,SÃO JOÃO DO JAGUARIBE,SÃO LUÍS DO CURU,SENADOR POMPEU,SENADOR SÁ,SOBRAL,SOLONÓPOLE,TABULEIRO DO NORTE,TAMBORIL,TARRAFAS,TAUÁ,TEJUÇUOCA,TIANGUÁ,TRAIRI,TURURU,UBAJARA,UMARI,UMIRIM,URUBURETAMA,URUOCA,VARJOTA,VÁRZEA ALEGRE,VIÇOSA DO CEARÁ
2011-01-31,172.24545,203.02625,234.27603,126.57655,116.24496,220.66151,152.7238,152.3076,191.73009,130.01869,193.34831,261.54074,156.66779,171.81738,151.70766,141.01007,159.2582,110.92849,152.7238,167.48064,171.46988,129.22777,164.52266,205.26799,169.68526,268.3118,171.81738,188.77408,235.70314,123.30508,173.45763,270.72836,141.21579,155.2472,159.2582,187.78203,199.64325,174.97795,147.28499,211.28903,206.60158,112.22728,124.00571,205.83998,146.12463,268.3118,133.01512,205.26799,252.57324,138.92679,169.64877,158.24243,235.70314,131.06256,155.27296,261.54074,160.2824,198.10988,258.3482,206.89401,252.57324,201.58594,279.1028,262.42868,174.97795,184.81621,208.69919,211.28903,187.78203,172.37291,261.54074,142.8308,249.7053,150.31848,169.67737,152.05176,132.74905,113.602264,136.66867,171.46988,231.31305,158.24243,152.3076,174.83788,156.66779,261.54074,186.11,187.06923,159.2582,234.27603,155.2472,137.88309,148.97624,141.55005,156.66779,164.52266,150.27078,235.67538,198.16444,133.49846,164.54753,153.88257,127.702736,208.69919,208.69919,211.69746,255.50392,220.66151,167.39232,220.66151,172.24545,128.44934,188.587,198.16444,126.53065,113.218575,150.31848,253.61588,188.75005,279.1028,187.78203,152.7238,142.44022,126.98995,177.74991,138.05467,205.26799,261.54074,187.78203,279.1028,161.38618,203.02625,167.97523,177.63112,127.0877,180.29276,126.42673,150.27078,189.21794,158.68355,258.28622,123.17641,192.26967,139.50421,173.45763,136.41588,152.3076,128.81721,130.14574,138.05467,127.575966,158.29529,203.02625,199.64325,164.05446,118.59019,138.82755,210.9929,156.53961,175.23936,249.7053,167.97523,152.25305,189.21794,126.83723,234.21793,198.10988,140.63985,153.88257,113.22918,143.55418,113.918236,201.58594,274.19073,129.79584,187.06923,274.19073,152.05176,186.11,187.06923,255.50392,192.26967,157.92046,278.67828
2011-02-28,194.50375,244.58339,273.4358,166.4227,147.08131,261.2126,171.2918,194.89005,231.75067,150.09738,228.60924,273.7455,207.24983,214.82275,182.84616,155.57776,197.93326,157.34898,171.2918,200.30992,196.23268,179.14319,166.87213,249.56413,188.47884,313.7415,214.82275,220.74388,273.4358,173.76378,176.31262,298.05096,152.49965,193.42047,197.93326,228.16719,236.02866,207.55238,173.6346,229.1836,249.77246,149.71722,163.42473,244.14499,189.69495,313.7415,184.39752,249.56413,278.60266,172.27315,174.7798,186.07205,273.4358,171.00768,193.86923,273.7455,185.7189,225.5453,279.07202,242.61656,278.60266,211.53941,302.31866,308.04584,207.55238,223.14928,250.80098,229.1836,228.16719,208.02312,273.7455,190.33167,264.66983,190.41637,225.64427,179.60359,182.61438,150.05064,168.25102,196.23268,267.68237,186.07205,193.68213,200.13594,207.24983,273.7455,228.50243,229.64673,197.93326,273.4358,193.42047,183.7267,189.83864,185.96762,207.24983,166.87213,138.31657,284.78674,202.52202,176.57675,193.4405,199.95084,178.8031,250.80098,250.80098,251.2443,292.597,261.2126,165.40836,261.2126,194.50375,171.21451,229.33347,202.52202,178.23996,165.3992,190.41637,289.85953,231.6604,302.31866,228.16719,171.2918,179.81767,160.04434,221.7438,183.89267,249.56413,273.7455,228.16719,302.31866,206.04192,244.58339,210.39638,219.69075,159.8009,217.45923,174.75818,138.31657,230.58122,199.56271,274.4379,175.44838,234.41878,172.58067,176.31262,155.29277,193.68213,163.93208,180.25238,183.89267,178.39389,203.30315,244.58339,236.02866,201.22797,159.34923,147.76945,243.83936,165.27473,222.923,264.66983,210.39638,192.16457,230.58122,175.4934,289.7819,225.5453,187.9877,199.95084,151.13426,163.60277,150.44083,211.53941,282.18124,168.64021,229.64673,282.18124,179.60359,228.50243,229.64673,292.597,234.41878,203.7755,306.41266
2011-03-31,117.78673,171.74692,171.44388,117.0732,97.41149,162.15211,138.0777,135.73784,140.00146,105.35936,149.51813,187.82384,138.73048,156.85686,127.5079,119.17356,132.66423,96.01583,138.0777,117.74794,142.86215,128.61462,108.62279,169.18669,120.41025,176.78188,156.85686,165.14934,168.8024,118.17943,110.20124,176.43242,101.968704,127.45192,132.66423,147.34946,148.50668,132.24422,125.943146,140.46411,175.7138,103.82484,120.66584,160.13077,118.6432,176.78188,123.43749,169.18669,152.81537,110.250565,137.78574,120.033775,168.8024,134.47592,140.27885,187.82384,135.86794,127.30356,182.40633,163.40965,152.81537,139.70514,182.44566,164.60306,132.24422,129.66882,171.90213,140.46411,147.34946,141.58467,187.82384,133.98346,172.75836,143.79666,146.74715,125.26219,124.48177,109.005196,109.02756,142.86215,167.0267,120.033775,135.288,124.24905,138.73048,187.82384,146.34004,146.20096,132.66423,171.44388,127.45192,144.00775,148.1156,145.86028,138.73048,108.62279,85.86889,168.21603,153.27684,119.76891,121.40651,136.95459,119.16511,171.90213,171.90213,146.78261,161.30838,162.15211,100.43057,162.15211,117.78673,139.2153,144.07524,153.27684,132.22421,110.177536,143.79666,156.60294,145.70331,182.44566,147.34946,138.0777,131.35217,104.25258,157.25327,121.07614,169.18669,187.82384,147.34946,182.44566,148.48683,171.74692,120.65357,136.91493,101.90291,136.04774,122.58792,85.86889,153.9267,159.22816,183.1367,118.85403,141.42892,106.726555,110.20124,116.53656,135.288,118.301636,123.77353,121.07614,125.704254,141.69073,171.74692,148.50668,152.66147,102.90912,116.41875,133.74603,125.37825,129.55426,172.75836,120.65357,139.21492,153.9267,122.02934,172.61606,127.30356,143.71335,136.95459,103.087,118.96947,99.104996,139.70514,172.56183,99.83738,146.20096,172.56183,125.26219,146.34004,146.20096,161.30838,141.42892,120.48193,187.8162
2011-04-30,23.919722,67.19411,60.244923,39.76389,7.3131886,39.750706,19.480295,51.604576,51.214203,12.168018,43.42677,86.580605,52.857735,60.41765,35.95395,3.170507,43.379147,6.1917048,19.480295,33.294838,47.703197,36.43193,16.041126,72.79703,33.079952,53.34163,60.41765,66.78674,63.342484,25.567862,19.750956,59.24413,5.330733,38.223198,43.379147,49.50926,46.625584,30.028078,37.424816,35.244614,75.68504,15.945902,23.721243,59.977222,43.685135,53.34163,40.06541,72.79703,48.68379,25.014082,20.494356,20.737665,63.342484,45.1626,55.440655,86.580605,19.746515,45.118866,90.33207,71.3345,48.68379,28.979921,65.4172,64.9337,30.028078,42.68553,68.96027,35.244614,49.50926,50.74,86.580605,49.87929,53.945927,51.621056,60.135735,46.393265,48.034153,6.577224,27.545368,47.703197,53.08131,20.737665,52.67706,27.769526,52.857735,86.580605,37.719196,43.421684,43.379147,60.244923,38.223198,38.072285,51.446026,48.64633,52.857735,16.041126,18.508303,58.17608,24.138094,37.325363,41.439655,37.83612,30.00725,68.96027,68.96027,55.708508,60.545197,39.750706,24.868189,39.750706,23.919722,38.303604,49.164627,24.138094,32.919758,13.183125,51.621056,54.637634,52.512886,65.4172,49.50926,19.480295,35.81939,6.923546,65.767876,44.754265,72.79703,86.580605,49.50926,65.4172,54.262016,67.19411,32.814957,36.576588,9.486763,30.480093,32.54316,18.508303,51.429646,55.711285,85.03759,36.027184,49.61255,23.5699,19.750956,6.056655,52.67706,6.923546,35.800682,44.754265,36.31072,53.178455,67.19411,46.625584,55.62134,9.33258,3.9607728,41.223454,16.398687,36.056053,53.945927,32.814957,44.573536,51.429646,36.111378,49.23806,45.118866,39.69698,37.83612,10.014048,24.2307,8.889127,28.979921,63.636555,-0.69556403,43.421684,63.636555,46.393265,37.719196,43.421684,60.545197,49.61255,42.10508,70.877174
2011-05-31,32.232647,49.371273,42.05081,40.295418,13.470936,34.6203,30.02499,28.633701,36.143616,16.338211,35.280586,54.51069,33.952877,42.028187,31.431866,18.127054,33.17924,12.195378,30.02499,36.339153,29.747507,27.542244,23.420008,46.995743,33.297646,35.21884,42.028187,36.962585,36.104492,39.037315,25.261534,32.535583,12.764183,40.845177,33.17924,46.870773,34.70547,35.632847,34.318394,40.2767,53.612343,22.2639,22.089512,37.41251,30.085606,35.21884,39.239223,46.995743,33.16847,24.634933,29.135546,32.77165,36.104492,38.56929,40.67475,54.51069,29.559671,26.077429,50.639214,41.60803,33.16847,24.563866,39.409027,31.61686,35.632847,28.987719,40.445473,40.2767,46.870773,41.462116,54.51069,33.156216,34.25246,32.71517,45.73995,32.214638,30.845274,16.747248,20.747334,29.747507,45.70913,32.77165,30.988008,19.862083,33.952877,54.51069,28.705854,28.29487,33.17924,42.05081,40.845177,32.51957,34.170902,43.161488,33.952877,23.420008,21.176727,34.229324,28.144045,37.81171,28.539965,34.19664,30.02375,40.445473,40.445473,29.214428,34.59623,34.6203,31.717804,34.6203,32.232647,42.590134,31.383244,28.144045,37.96287,27.541567,32.71517,38.977016,32.79722,39.409027,46.870773,30.02499,28.854834,22.904308,42.331463,35.123543,46.995743,54.51069,46.870773,39.409027,38.83876,49.371273,15.827449,22.103657,10.166593,31.501415,37.502445,21.176727,32.265945,41.563484,53.20898,41.98344,35.283,29.158524,25.261534,12.62362,30.988008,19.301779,30.931627,35.123543,39.424248,42.668106,49.371273,34.70547,40.153378,21.176863,13.477079,23.323221,29.086397,27.447624,34.25246,15.827449,35.269535,32.265945,40.80369,33.08981,26.077429,45.037884,34.19664,15.710586,26.226917,10.720939,24.563866,39.214092,3.3870063,28.29487,39.214092,32.214638,28.705854,28.29487,34.59623,35.283,37.236122,40.425022
2011-06-30,13.274553,18.06263,16.652311,7.903094,7.8326435,12.031544,12.476637,8.928605,10.329053,7.7366652,8.576132,19.893402,9.10975,11.570304,8.218234,9.701383,11.0230055,6.5470223,12.476637,14.678162,10.609532,11.691528,11.789968,15.515936,14.282461,15.034877,11.570304,11.09209,15.559181,11.543559,11.542266,12.392508,8.744371,11.622722,11.0230055,15.103547,9.96512,13.413995,8.493276,9.294636,18.445261,5.059635,4.218643,16.080307,9.895932,15.034877,14.097558,15.515936,13.107489,6.217405,11.661136,7.8279624,15.559181,9.60636,11.435941,19.893402,11.552876,7.561095,21.850145,11.760425,13.107489,7.5107093,17.543348,13.6148405,13.413995,7.997429,15.962447,9.294636,15.103547,9.134354,19.893402,9.0422325,8.878361,9.123162,8.385523,13.536694,12.510816,3.479983,6.8653,10.609532,9.709819,7.8279624,9.673412,2.8322105,9.10975,19.893402,5.074393,6.106134,11.0230055,16.652311,11.622722,9.402931,9.997843,9.971344,9.10975,11.789968,8.174383,14.19382,13.284749,9.662405,10.725446,8.7507925,9.756945,15.962447,15.962447,7.939095,13.640659,12.031544,11.867202,12.031544,13.274553,8.804702,5.0252266,13.284749,6.499004,4.167388,9.123162,12.213956,9.2602215,17.543348,15.103547,12.476637,5.785307,6.0451446,11.690689,11.747054,15.515936,19.893402,15.103547,17.543348,8.259353,18.06263,-0.93005157,-1.8013785,8.565615,7.169349,6.4012084,8.174383,5.704092,10.606991,19.892529,6.1598516,10.7939415,7.3541765,11.542266,8.9137745,9.673412,6.0451446,11.710398,11.747054,11.789449,9.438318,18.06263,9.96512,8.943221,8.262605,9.271422,6.326207,11.977765,5.4076347,8.878361,-0.93005157,9.106237,5.704092,11.261324,12.353992,7.561095,11.99529,8.7507925,4.0596924,9.581441,2.7433941,7.5107093,9.623191,-7.0357876,6.106134,9.623191,13.536694,5.074393,6.106134,13.640659,10.7939415,11.421811,13.43988
2011-07-31,11.19549,18.61307,7.268714,4.226673,4.1385174,11.410975,11.6029005,14.154591,1.0812283,3.3716722,5.3306613,22.29683,12.176685,9.893551,3.2726128,7.934388,11.515943,4.155531,11.6029005,13.657439,8.627342,12.778757,9.821351,11.1256075,13.247371,3.8762398,9.893551,5.7343106,6.1637335,6.2761593,8.818732,5.7336307,6.3012476,3.755712,11.515943,14.945289,3.163901,13.733624,9.009778,4.62051,13.482502,2.089693,0.69379073,14.259443,8.289831,3.8762398,6.3806043,11.1256075,5.888443,1.9751053,9.785625,3.4858425,6.1637335,9.845372,7.7744126,22.29683,9.785887,2.7082193,18.199293,9.046883,5.888443,3.9260561,4.1293488,6.7467833,13.733624,3.1746366,12.197106,4.62051,14.945289,5.226122,22.29683,6.7222457,3.954727,10.333317,9.250813,10.138256,9.969842,-0.7689653,2.8528192,8.627342,8.870212,3.4858425,10.350781,-1.2407801,12.176685,22.29683,0.2777482,-0.96852136,11.515943,7.268714,3.755712,9.79302,13.555631,6.231553,12.176685,9.821351,7.6463985,4.7376943,10.345597,8.115733,8.941936,9.587053,2.9260607,12.197106,12.197106,0.33358026,6.479025,11.410975,11.164254,11.410975,11.19549,11.975892,-0.0608499,10.345597,4.3495936,1.9420736,10.333317,8.107646,1.4585762,4.1293488,14.945289,11.6029005,3.4778197,0.38699698,7.294493,9.278287,11.1256075,22.29683,14.945289,4.1293488,5.399843,18.61307,-5.8692255,-5.2814913,3.242492,3.9351418,8.580611,7.6463985,3.2888334,6.259567,21.910454,6.0704947,6.129572,3.6082938,8.818732,8.811578,10.350781,0.43200934,9.521878,9.278287,15.515528,9.4220085,18.61307,3.163901,7.3082747,3.8318546,6.9925966,3.906527,9.688508,1.812783,3.954727,-5.8692255,14.083729,3.2888334,12.608384,5.434821,2.7082193,12.079591,9.587053,0.1161046,7.9806786,1.3538549,3.9260561,4.4593835,-10.578023,-0.96852136,4.4593835,10.138256,0.2777482,-0.96852136,6.479025,6.129572,10.369608,5.8473268
2011-08-31,18.466164,15.020963,8.568261,8.6759,9.565226,8.850074,17.2477,8.942134,6.5528383,12.964838,5.760082,20.339598,8.770423,11.593104,6.974295,15.010008,9.140344,7.6814747,17.2477,19.550434,16.544422,7.9941683,18.126896,13.894547,19.518936,5.518637,11.593104,11.039373,7.72763,6.431622,18.777607,6.3887887,15.803939,5.9737206,9.140344,10.001869,2.5493402,19.794022,13.318736,8.364632,13.655547,7.878497,4.066233,12.147826,11.591043,5.518637,8.314677,13.894547,6.008308,6.7348,16.861252,6.1889563,7.72763,13.615781,11.605152,20.339598,16.905556,4.503058,16.999735,10.7665415,6.008308,5.2146845,8.489691,7.2584395,19.794022,6.388793,14.793454,8.364632,10.001869,9.23606,20.339598,9.978567,7.7833247,9.68592,9.420846,14.997916,15.896691,4.490942,7.5245147,16.544422,7.975249,6.1889563,9.281315,3.4428234,8.770423,20.339598,4.2364073,5.828769,9.140344,8.568261,5.9737206,9.375744,9.68592,11.592975,8.770423,18.126896,18.084103,5.558393,17.681377,11.463283,16.612156,7.2698646,5.8576465,14.793454,14.793454,2.604987,3.487574,8.850074,19.817379,8.850074,18.466164,10.478843,0.38472128,17.681377,6.974364,5.5686617,9.68592,5.40385,3.2712653,8.489691,10.001869,17.2477,5.456029,7.258829,10.513673,13.121438,13.894547,20.339598,10.001869,8.489691,9.417091,15.020963,-1.715598,-1.2847775,10.992371,5.98876,6.431622,18.084103,6.202646,12.765789,19.111094,4.5591383,7.495224,7.702285,18.777607,16.288696,9.281315,7.359308,9.329502,13.121438,7.282229,8.677836,15.020963,2.5493402,10.3943,10.851324,14.254316,5.7257733,17.286404,4.4771457,7.7833247,-1.715598,7.181315,6.202646,7.201869,5.6738276,4.503058,12.228304,7.2698646,4.4343762,13.017752,5.7289834,5.2146845,8.471238,-9.642867,5.828769,8.471238,14.997916,4.2364073,5.828769,3.487574,7.495224,14.648801,10.648405
2011-09-30,25.233698,10.541613,5.216129,2.6221418,7.052592,6.6264205,19.96716,3.0775485,0.88226384,15.013378,1.7072057,12.007066,2.4514859,6.165558,3.6370375,22.154217,3.294002,1.7062402,19.96716,18.888487,19.612291,4.500298,25.72179,5.725093,25.285727,2.6029181,6.165558,2.428801,5.1989655,1.2360557,26.372494,4.9398856,18.332108,1.0396396,3.294002,5.743063,0.4728402,21.291397,15.01802,4.9412074,5.646373,3.33577,-0.51656044,3.0233772,10.266441,2.6029181,1.5175964,5.725093,2.510468,2.9222224,23.613823,4.5803847,5.1989655,7.3406363,5.3175955,12.007066,20.493793,1.741762,9.877811,3.676058,2.510468,1.4048442,4.4021544,2.4601507,21.291397,2.2314003,8.049857,4.9412074,5.743063,4.5765676,12.007066,3.538972,4.4363384,3.6354947,2.4514859,12.5795965,9.077662,0.3662733,3.8985171,19.612291,6.1864023,4.5803847,2.7655382,-0.5383692,2.4514859,12.007066,-0.85634625,-0.13948923,3.294002,5.216129,1.0396396,3.1854744,2.8019328,5.166378,2.4514859,25.72179,25.035679,4.4068623,25.030617,10.173379,20.356419,1.4619504,-0.06831183,8.049857,8.049857,0.10468488,3.979306,6.6264205,26.834127,6.6264205,25.233698,5.337409,-0.9977689,25.030617,1.7464575,0.6774575,3.6354947,2.7614949,-1.3131758,4.4021544,5.743063,19.96716,4.1614614,3.357484,2.785602,8.536559,5.725093,12.007066,5.743063,4.4021544,2.7578382,10.541613,-8.483374,-7.7638907,7.0773554,1.1382235,0.7604553,25.035679,0.6328919,7.1629324,11.646551,2.3847167,3.9595764,4.377444,26.372494,19.214,2.7655382,4.234642,3.3361626,8.536559,4.160017,1.0944005,10.541613,0.4728402,3.5711184,7.003619,22.728207,2.7774606,24.224815,-1.1284217,4.4363384,-8.483374,2.4355187,0.6328919,3.7950902,4.687958,1.741762,5.346015,1.4619504,0.6123967,15.67883,2.204702,1.4048442,4.680873,-13.50144,-0.13948923,4.680873,12.5795965,-0.85634625,-0.13948923,3.979306,3.9595764,16.446316,6.715522
2011-10-31,39.376747,27.332224,9.546026,10.687987,16.135263,19.828787,29.998447,7.862836,7.857773,29.549026,1.9083335,28.24452,4.427269,17.996359,23.907167,31.730104,13.381677,12.19627,29.998447,38.044876,34.3849,8.790441,35.362564,22.78898,41.821846,47.24486,17.996359,17.05253,14.147372,4.5966578,31.251806,39.564445,32.12317,4.921497,13.381677,17.75052,18.73389,37.755272,32.663414,29.315914,23.370237,12.653594,0.65820986,7.8443327,25.638012,47.24486,6.7992754,22.78898,41.793617,20.198414,36.24534,14.4298525,14.147372,18.950937,6.6895876,28.24452,39.707527,9.016207,9.185101,14.337541,41.793617,4.3906283,50.997776,52.507782,37.755272,7.665543,21.337778,29.315914,17.75052,14.600174,28.24452,5.175641,43.780624,9.528553,6.80468,24.125633,21.119276,-0.9643742,14.158323,34.3849,33.732384,14.4298525,4.9678574,-4.4415026,4.427269,28.24452,0.14942172,1.1640806,13.381677,9.546026,4.921497,6.499587,8.569355,13.457557,4.427269,35.362564,36.604828,20.171532,37.53259,24.255232,36.185753,2.6082096,3.1662831,21.337778,21.337778,4.46022,37.888733,19.828787,35.150436,19.828787,39.376747,11.958585,4.175906,37.53259,13.189071,-0.2340709,9.528553,34.70999,5.8989067,50.997776,17.75052,29.998447,13.534563,17.114313,5.3515205,20.442387,22.78898,28.24452,17.75052,50.997776,4.134986,27.332224,-6.3432226,-4.8402357,21.14104,5.582385,5.132745,36.604828,1.6628644,12.846218,18.213198,7.5923967,21.94242,14.844392,31.251806,22.52739,4.9678574,17.301172,7.0737085,20.442387,7.5320234,8.277004,27.332224,18.73389,10.078363,17.629969,32.27394,10.612726,33.047844,4.746729,43.780624,-6.3432226,6.107553,1.6628644,7.997342,15.774765,9.016207,19.144007,2.6082096,-0.40184408,31.352453,11.334936,4.3906283,45.152206,-16.21794,1.1640806,45.152206,24.125633,0.14942172,1.1640806,37.888733,21.94242,34.617874,47.01065
