,ABAIARA,ACARAPE,ACARAÚ,ACOPIARA,AIUABA,ALCÂNTARAS,ALTANEIRA,ALTO SANTO,AMONTADA,ANTONINA DO NORTE,APUIARÉS,AQUIRAZ,ARACATI,ARACOIABA,ARARENDÁ,ARARIPE,ARATUBA,ARNEIROZ,ASSARÉ,AURORA,BAIXIO,BANABUIÚ,BARBALHA,BARREIRA,BARRO,BARROQUINHA,BATURITÉ,BEBERIBE,BELA CRUZ,BOA VIAGEM,BREJO SANTO,CAMOCIM,CAMPOS SALES,CANINDÉ,CAPISTRANO,CARIDADE,CARIRÉ,CARIRIAÇU,CARIÚS,CARNAUBAL,CASCAVEL,CATARINA,CATUNDA,CAUCAIA,CEDRO,CHAVAL,CHORÓ,CHOROZINHO,COREAÚ,CRATEÚS,CRATO,CROATÁ,CRUZ,DEPUTADO IRAPUAN PINHEIRO,ERERÊ,EUSÉBIO,FARIAS BRITO,FORQUILHA,FORTALEZA,FORTIM,FRECHEIRINHA,GENERAL SAMPAIO,GRAÇA,GRANJA,GRANJEIRO,GROAÍRAS,GUAIÚBA,GUARACIABA DO NORTE,GUARAMIRANGA,HIDROLÂNDIA,HORIZONTE,IBARETAMA,IBIAPINA,IBICUITINGA,ICAPUÍ,ICÓ,IGUATU,INDEPENDÊNCIA,IPAPORANGA,IPAUMIRIM,IPU,IPUEIRAS,IRACEMA,IRAUÇUBA,ITAIÇABA,ITAITINGA,ITAPAGÉ,ITAPIPOCA,ITAPIÚNA,ITAREMA,ITATIRA,JAGUARETAMA,JAGUARIBARA,JAGUARIBE,JAGUARUANA,JARDIM,JATI,JIJOCA DE JERICOACOARA,JUAZEIRO DO NORTE,JUCÁS,LAVRAS DA MANGABEIRA,LIMOEIRO DO NORTE,MADALENA,MARACANAÚ,MARANGUAPE,MARCO,MARTINÓPOLE,MASSAPÊ,MAURITI,MERUOCA,MILAGRES,MILHÃ,MIRAÍMA,MISSÃO VELHA,MOMBAÇA,MONSENHOR TABOSA,MORADA NOVA,MORAÚJO,MORRINHOS,MUCAMBO,MULUNGU,NOVA OLINDA,NOVA RUSSAS,NOVO ORIENTE,OCARA,ORÓS,PACAJUS,PACATUBA,PACOTI,PACUJÁ,PALHANO,PALMÁCIA,PARACURU,PARAIPABA,PARAMBU,PARAMOTI,PEDRA BRANCA,PENAFORTE,PENTECOSTE,PEREIRO,PINDORETAMA,PIQUET CARNEIRO,PIRES FERREIRA,PORANGA,PORTEIRAS,POTENGI,POTIRETAMA,QUITERIANÓPOLIS,QUIXADÁ,QUIXELÔ,QUIXERAMOBIM,QUIXERÉ,REDENÇÃO,RERIUTABA,RUSSAS,SABOEIRO,SALITRE,SANTANA DO ACARAÚ,SANTANA DO CARIRI,SANTA QUITÉRIA,SÃO BENEDITO,SÃO GONÇALO DO AMARANTE,SÃO JOÃO DO JAGUARIBE,SÃO LUÍS DO CURU,SENADOR POMPEU,SENADOR SÁ,SOBRAL,SOLONÓPOLE,TABULEIRO DO NORTE,TAMBORIL,TARRAFAS,TAUÁ,TEJUÇUOCA,TIANGUÁ,TRAIRI,TURURU,UBAJARA,UMARI,UMIRIM,URUBURETAMA,URUOCA,VARJOTA,VÁRZEA ALEGRE,VIÇOSA DO CEARÁ
2011-01-31,263.32462,192.3888,243.05513,139.07564,111.71552,268.4673,230.2219,144.22911,236.75037,160.65547,179.57562,233.30446,124.40883,146.77182,131.81598,215.27147,133.10226,128.86162,230.2219,281.13336,263.15292,108.91858,218.9108,188.23985,255.56903,266.08304,146.77182,167.7455,235.70535,106.5527,217.80864,285.39044,165.29839,109.659355,133.10226,183.6579,227.55353,302.82367,218.49075,171.93245,189.9604,118.03401,119.350746,203.98807,205.31548,266.08304,123.44484,188.23985,245.46541,147.45644,254.49881,113.44187,235.70535,140.95348,176.57277,233.30446,233.1964,175.15578,252.84485,195.43324,245.46541,121.421036,258.56787,277.36597,302.82367,187.52261,204.24545,171.93245,183.6579,171.4621,233.30446,143.15512,231.73558,144.22911,169.75609,194.24402,175.22942,125.74706,137.24065,263.15292,209.11542,113.44187,150.66853,96.49995,124.40883,233.30446,121.32598,165.94171,133.10226,243.05513,109.659355,127.143616,142.18053,162.701,124.40883,218.9108,182.90366,260.50098,297.54788,168.92993,252.34422,152.36281,98.65456,204.24545,204.24545,246.00717,275.8717,268.4673,209.64546,268.4673,263.32462,109.4559,184.20123,297.54788,138.1496,92.57516,144.22911,263.81247,225.77657,258.56787,183.6579,230.2219,122.85587,123.14015,148.14671,175.24625,188.23985,233.30446,183.6579,258.56787,151.58235,192.3888,84.1772,127.46449,119.837036,142.21259,137.43503,182.90366,157.28424,173.5624,241.61398,117.46961,203.24854,130.22505,217.80864,201.93683,150.66853,124.050804,112.34803,175.24625,124.62585,173.48274,192.3888,227.55353,153.11433,120.95507,180.03459,188.61894,231.387,150.51225,231.73558,84.1772,149.82579,157.28424,137.58409,267.2766,175.15578,125.01539,152.36281,91.18541,196.06401,105.956764,121.421036,240.176,40.51721,165.94171,240.176,194.24402,121.32598,165.94171,275.8717,203.24854,268.42325,263.6629
2011-02-28,153.323,237.39369,280.7736,141.50618,109.026726,248.1585,172.10542,157.5754,246.29036,125.90952,189.8045,284.20648,176.90422,183.25826,160.89024,156.97173,155.1018,108.05439,172.10542,162.5962,145.46634,137.56335,168.08145,223.46268,149.11485,264.61304,183.25826,182.92526,278.1136,121.62422,168.42757,269.05518,134.14612,145.32896,155.1018,172.80017,227.03624,182.64072,162.4468,163.20952,250.01067,112.31422,149.38373,260.43604,142.53201,264.61304,145.68344,223.46268,254.5482,135.72803,174.50273,142.1628,278.1136,148.68034,157.49292,284.20648,168.0976,212.59361,277.35233,216.97556,254.5482,166.78404,260.73068,269.01028,182.64072,213.32845,258.0424,163.20952,172.80017,182.60008,284.20648,150.51115,210.45393,149.25475,185.64288,151.86165,146.79037,114.419334,144.64159,145.46634,201.77505,142.1628,152.11427,147.80257,176.90422,284.20648,172.2499,227.56812,155.1018,280.7736,145.32896,136.35463,143.05588,148.97678,176.90422,168.08145,169.1295,276.94098,162.99226,147.95288,140.68964,161.62527,125.92113,258.0424,258.0424,262.5381,253.39284,248.1585,164.53821,248.1585,153.323,142.39737,234.28,162.99226,138.80624,124.913315,149.25475,251.10414,248.91116,260.73068,172.80017,172.10542,152.9147,122.91236,201.17055,155.3077,223.46268,284.20648,172.80017,260.73068,172.53046,237.39369,161.61884,189.07678,109.087975,152.8671,129.32031,169.1295,180.2248,144.17337,277.5691,139.57481,210.90117,152.28906,168.42757,151.20016,152.11427,119.66385,145.91304,155.3077,135.04933,174.35222,237.39369,227.03624,173.28745,113.20562,148.7556,225.81366,171.60214,156.6249,210.45393,161.61884,151.73215,180.2248,135.56227,261.74252,212.59361,141.76166,161.62527,122.46971,149.69652,108.86669,166.78404,234.45853,112.46122,227.56812,234.45853,151.86165,172.2499,227.56812,253.39284,210.90117,142.48195,255.47713
2011-03-31,164.65848,278.3865,333.53412,170.10013,133.21454,279.47064,167.49469,173.9913,277.6176,133.26794,248.62115,334.9951,187.08838,220.39056,193.49245,160.3225,186.0092,126.238205,167.49469,167.49358,173.33466,164.59456,163.13777,274.54764,175.40843,341.02386,220.39056,233.09515,331.7528,154.09406,166.88524,339.8308,117.52691,160.07271,186.0092,224.76352,249.49039,177.78336,156.00323,206.19865,296.0298,137.55298,166.9253,275.69058,170.86784,341.02386,163.89607,274.54764,276.54196,164.3605,168.5492,164.6321,331.7528,177.35216,187.99818,334.9951,167.32831,182.22137,334.16644,254.39915,276.54196,223.26286,329.5338,323.73544,177.78336,201.36009,298.2209,206.19865,224.76352,218.57703,334.9951,179.14185,280.00705,193.83124,206.44908,172.64577,181.73143,132.90019,177.43777,173.33466,256.26428,164.6321,174.0426,173.58809,187.08838,334.9951,222.4427,267.5288,186.0092,333.53412,160.07271,165.69786,171.42088,175.75934,187.08838,163.13777,145.95174,340.44955,172.31073,171.10172,174.9776,181.07819,154.4135,298.2209,298.2209,288.7283,297.24545,279.47064,161.51279,279.47064,164.65848,166.27228,253.9365,172.31073,156.20145,151.57268,193.83124,292.79715,312.24908,329.5338,224.76352,167.49469,184.98233,145.45265,231.0593,181.17358,274.54764,334.9951,224.76352,329.5338,185.94577,278.3865,170.38055,218.71191,133.52187,187.36696,153.24667,145.95174,273.60593,190.60909,335.4282,158.2116,239.64948,169.86334,166.88524,141.52254,174.0426,134.78029,169.80225,181.17358,170.56844,188.27272,278.3865,249.49039,200.01872,142.22069,138.5886,186.73285,175.80785,154.71506,280.00705,170.38055,176.59082,273.60593,160.09657,323.09088,182.22137,163.99239,181.07819,147.95012,150.93242,133.5523,223.26286,283.8554,105.84791,267.5288,283.8554,172.64577,222.4427,267.5288,297.24545,239.64948,166.811,342.64056
2011-04-30,99.93178,152.06061,155.29695,154.16313,90.77757,158.47372,100.54429,132.22905,153.38669,100.184364,124.32047,170.26013,149.46576,135.09715,147.73889,89.13501,133.34796,89.19543,100.54429,112.224594,130.38968,142.04901,101.04496,161.43716,101.69516,175.80296,135.09715,150.10147,156.7758,120.72035,98.71324,168.09673,84.1613,130.08546,133.34796,129.33989,138.20024,114.75478,121.58589,136.41895,169.24287,115.63749,121.31605,131.11638,147.89835,175.80296,145.78967,161.43716,157.88039,126.71151,98.614655,110.5982,156.7758,159.72594,140.03506,170.26013,103.68393,132.34502,179.99046,163.25883,157.88039,117.01253,176.58157,167.76503,114.75478,118.65282,150.79337,136.41895,129.33989,156.19028,170.26013,139.49301,183.45534,134.90263,168.05609,135.04405,155.3912,93.810974,127.1857,130.38968,173.91864,110.5982,139.78268,109.60938,149.46576,170.26013,122.703735,116.07624,133.34796,155.29695,130.08546,127.64158,139.97949,147.21732,149.46576,101.04496,88.423935,157.76123,99.536934,150.02733,130.27094,114.01786,129.88292,150.79337,150.79337,156.3344,162.42914,158.47372,100.12489,158.47372,99.93178,152.31435,130.93178,99.536934,148.95438,114.20894,134.90263,166.39247,151.56062,176.58157,129.33989,100.54429,140.86433,111.294266,148.55548,149.42235,161.43716,170.26013,129.33989,176.58157,136.50003,152.06061,104.41439,114.11561,93.74736,117.50845,146.91948,88.423935,130.96786,151.8456,174.46281,149.24348,147.65292,127.98041,98.71324,91.500786,139.78268,111.294266,139.09843,149.42235,142.31789,142.98225,152.06061,138.20024,137.65826,100.629166,86.55852,129.6389,96.87004,119.66935,183.45534,104.41439,121.98544,130.96786,150.63126,166.19968,132.34502,153.2245,114.01786,99.21657,104.56694,96.81184,117.01253,180.53987,66.9628,116.07624,180.53987,135.04405,122.703735,116.07624,162.42914,147.65292,128.47978,168.36685
2011-05-31,22.085146,73.373764,54.410736,34.598537,9.416939,48.32209,27.509209,34.294193,50.599087,14.802701,44.62976,83.76563,51.94076,57.865654,34.4906,19.021513,54.8067,15.178827,27.509209,26.2433,23.176584,37.375484,23.849163,67.95577,22.085146,50.41745,57.865654,52.468906,48.316795,51.206722,23.65143,41.74267,11.106279,50.024593,54.8067,80.30973,41.391758,20.143194,21.112669,45.18424,80.549324,17.39447,24.978107,55.884525,20.23732,50.41745,51.153954,67.95577,38.733555,20.469849,20.974125,32.805,48.316795,32.72969,31.642025,83.76563,25.130236,29.125769,89.52793,58.689613,38.733555,34.458485,49.169075,41.096504,20.143194,30.998718,59.109184,45.18424,80.30973,39.839684,83.76563,49.150887,49.73076,42.767822,61.89794,23.959988,23.743881,15.142489,20.115667,23.176584,43.550068,32.805,35.195736,32.714565,51.94076,83.76563,36.261887,40.675114,54.8067,54.410736,50.024593,37.67239,32.681286,34.882046,51.94076,23.849163,17.239056,43.706284,22.323673,19.710718,21.279722,41.745728,43.984486,59.109184,59.109184,34.04249,39.835724,48.32209,20.597124,48.32209,22.085146,35.058838,38.140427,22.323673,36.07806,35.51151,42.767822,40.834496,42.233627,49.169075,80.30973,27.509209,28.120575,20.55015,58.620132,24.441357,67.95577,83.76563,80.30973,49.169075,51.058163,73.373764,36.7391,42.419235,13.345463,39.721375,42.617386,17.239056,47.274277,31.348085,74.59306,36.739567,42.775818,29.009756,23.65143,21.48904,35.195736,18.856476,46.735447,24.441357,50.06402,51.829273,73.373764,41.391758,52.1776,14.976108,11.579454,29.881126,18.92346,28.912703,49.73076,36.7391,44.94623,47.274277,44.464375,39.00706,29.125769,43.121918,41.745728,16.463276,24.367071,16.769653,34.458485,42.47192,25.37757,40.675114,42.47192,23.959988,36.261887,40.675114,39.835724,42.775818,19.05763,44.165226
2011-06-30,21.99178,46.290897,30.675976,25.277527,10.791173,30.965601,15.59912,28.875118,35.341198,13.7150955,33.137913,47.367786,34.24796,39.838432,24.289497,11.093106,39.4383,13.150954,15.59912,24.605255,25.420244,40.476734,25.600733,41.892673,25.084763,35.730686,39.838432,42.692596,31.575138,39.791065,24.462887,36.534817,8.324499,44.27971,39.4383,47.431282,28.187208,20.97019,16.091759,26.060783,45.45272,16.326015,16.206207,43.599976,23.370464,35.730686,44.56023,41.892673,24.77653,13.712131,18.511185,18.956938,31.575138,25.017328,31.305689,47.367786,14.673961,22.16571,61.54166,36.969406,24.77653,29.720375,35.988113,33.2688,20.97019,25.881193,40.89914,26.060783,47.431282,18.491932,47.367786,35.36002,31.76769,33.431236,32.246788,25.453665,22.90777,11.880556,14.605802,25.420244,32.12606,18.956938,31.009464,25.495813,34.24796,47.367786,30.678339,32.95882,39.4383,30.675976,44.27971,33.607307,31.020842,30.096954,34.24796,25.600733,22.28987,31.78415,21.75599,17.51954,24.963165,34.603733,39.796097,40.89914,40.89914,28.106321,35.602356,30.965601,23.065119,30.965601,21.99178,31.178139,21.716585,21.75599,26.584057,27.256845,33.431236,30.537577,26.974613,35.988113,47.431282,15.59912,18.076078,12.544691,39.784256,25.098682,41.892673,47.367786,47.431282,35.988113,32.787994,46.290897,31.065931,29.887798,10.364156,31.228384,28.610079,22.28987,30.97668,29.92088,44.07593,27.560568,25.105574,21.156675,24.462887,10.498031,31.009464,13.27993,40.63913,25.098682,44.523205,36.241558,46.290897,28.187208,34.032272,12.808134,9.188827,21.806978,18.92001,21.112635,31.76769,31.065931,33.37778,30.97668,37.917767,30.727358,22.16571,31.693867,34.603733,18.598099,14.9595785,18.976936,29.720375,31.76769,23.24156,32.95882,31.76769,25.453665,30.678339,32.95882,35.602356,25.105574,24.921982,29.786459
2011-07-31,5.9035144,11.940006,4.6934032,7.1812267,4.7921515,8.866771,4.9377255,8.598235,5.2340684,4.98278,6.992583,13.8142605,10.620748,8.581151,6.487532,4.7985125,9.840233,5.25095,4.9377255,5.599936,6.090306,8.227218,6.6306276,7.334412,5.5473385,5.1360874,8.581151,6.907556,4.304508,7.35968,5.995196,4.886637,4.400459,7.157715,9.840233,11.101829,6.1178527,5.787336,5.9228144,6.8142347,10.132757,5.1425495,5.8368907,10.51558,6.546043,5.1360874,7.241672,7.334412,5.8022456,4.884833,5.8145533,5.792873,4.304508,7.4328203,7.4328203,13.8142605,5.488647,5.0722895,12.6781025,9.131899,5.8022456,6.8158855,6.7636685,5.176553,5.787336,6.014111,7.5599275,6.8142347,11.101829,5.697954,13.8142605,7.241672,6.548575,7.6935067,8.468441,6.546043,6.902763,4.9127016,5.0790243,6.090306,10.0365,5.792873,8.4440565,5.200227,10.620748,13.8142605,5.9277773,5.4499955,9.840233,4.6934032,7.157715,9.231562,8.598235,7.2651834,10.620748,6.6306276,5.8914347,4.5002766,5.6314554,6.215071,6.090306,7.4176707,6.942527,7.5599275,7.5599275,4.5759373,5.401681,8.866771,5.258543,8.866771,5.9035144,7.8380027,4.33604,5.6314554,7.3748603,6.9494166,7.6935067,5.934174,4.1968956,6.7636685,11.101829,4.9377255,5.027554,4.918379,7.1444783,6.735125,7.334412,13.8142605,11.101829,6.7636685,6.60292,11.940006,5.5627966,5.8436365,4.742543,7.0670586,9.227626,5.8914347,6.1951294,7.2651834,12.7153635,7.5081162,6.278118,6.373038,5.995196,4.444424,8.4440565,5.1813316,8.045866,6.735125,11.350919,7.236319,11.940006,6.1178527,7.0601077,4.9074025,4.7985125,4.8892646,5.4580708,5.999348,6.548575,5.5627966,8.435429,6.1951294,11.853163,5.177278,5.0722895,7.4861317,7.4176707,5.3480544,5.639182,5.0718346,6.8158855,6.5717673,2.6775322,5.4499955,6.5717673,6.546043,5.9277773,5.4499955,5.401681,6.278118,5.7472043,5.519113
2011-08-31,6.499657,6.927906,1.8936373,4.90895,3.9311483,2.8248029,5.222403,3.717472,2.682631,4.180341,3.9996133,7.43871,3.1346865,4.022316,3.8092225,4.748135,4.167161,3.9183621,5.222403,5.6170335,5.6453667,4.0214705,6.7478228,4.2059655,6.334467,1.9220067,4.022316,3.7717295,1.6800699,4.76319,6.706165,1.8904824,3.9371104,3.9798124,4.167161,5.6464767,2.2775998,6.2363834,5.6936502,4.093289,7.5002174,4.056363,3.124318,6.7513137,5.673717,1.9220067,4.022316,4.2059655,2.549866,3.1207054,6.7118115,3.4905407,1.6800699,5.2280297,4.90895,7.43871,5.9366593,1.8493541,3.4425871,3.8142326,2.549866,2.39671,3.3586311,2.328782,6.2363834,2.6099627,6.8664,4.093289,5.6464767,2.655496,7.43871,3.918688,4.1514125,3.918688,2.85985,5.5394235,5.3990564,3.5984702,2.9983418,5.6453667,4.210568,3.4905407,3.847136,2.687261,3.1346865,7.43871,2.9095688,2.409789,4.167161,1.8936373,3.9798124,4.185122,4.0814953,4.90895,3.1346865,6.7478228,6.265809,1.752146,6.493343,5.5808196,5.670002,3.1346865,3.918688,6.8664,6.8664,1.6800699,2.1265311,2.8248029,6.4273643,2.8248029,6.499657,5.6444173,2.135876,6.493343,4.6574697,3.5568051,3.918688,2.7652843,1.8936373,3.3586311,5.6464767,5.222403,2.655496,3.2980266,3.8459146,5.3573985,4.2059655,7.43871,5.6464767,3.3586311,3.4987087,6.927906,2.0545952,2.0545952,4.021874,3.5934703,4.8673844,6.265809,2.847559,4.90895,7.43871,4.689322,3.2251322,3.863712,6.706165,3.8216565,3.847136,3.81605,5.1705637,5.3573985,5.111952,3.559833,6.927906,2.2775998,4.0214705,4.046603,4.748135,2.0907624,5.910639,2.316276,4.1514125,2.0545952,3.5546658,2.847559,5.3988056,1.6430919,1.8493541,4.688477,3.1346865,3.380287,4.8404307,4.260693,2.39671,3.3770633,0.8327736,2.409789,3.3770633,5.5394235,2.9095688,2.409789,2.1265311,3.2251322,5.670002,3.6330323
2011-09-30,38.272392,7.175285,3.6166143,9.69143,14.581961,5.930505,29.283741,3.2503784,3.651785,20.76324,3.2174385,3.6516895,2.9102774,6.1612473,7.3829947,35.980354,4.8198147,8.997398,29.283741,36.67751,24.71691,3.2997265,37.626522,4.874647,38.03499,3.7327409,6.1612473,3.2969432,3.5271287,6.4564695,38.390656,3.8678665,27.232647,5.078707,4.8198147,7.466534,4.282413,36.718903,26.096254,5.7828274,6.5113025,9.458584,3.6998522,3.5696518,16.499853,3.7327409,3.598687,4.874647,6.6355014,5.905041,38.256363,4.214283,3.5271287,9.409954,9.4089985,3.6516895,35.314194,3.5722525,2.948188,3.1221738,6.6355014,3.1856787,7.0116305,4.1342597,36.718903,3.7641008,6.7045965,5.7828274,7.466534,4.282413,3.6516895,3.5495117,6.929288,3.3208048,2.998897,16.513355,12.301395,3.7970412,4.528547,24.71691,7.4380136,4.214283,4.987904,2.9298093,2.9102774,3.6516895,2.9087682,3.2726011,4.8198147,3.6166143,5.078707,3.5467432,3.5824516,9.666826,2.9102774,37.626522,36.424625,3.6495607,36.82603,17.842846,24.741547,2.6668239,3.5495117,6.7045965,6.7045965,3.2836752,3.8612785,5.930505,38.111855,5.930505,38.272392,8.264135,3.5767105,36.82603,7.410713,5.343093,3.3208048,4.359945,3.5923643,7.0116305,7.466534,29.283741,4.266385,4.6011376,5.8120246,11.358706,4.874647,3.6516895,7.466534,7.0116305,2.9102774,7.175285,2.9087682,2.940528,9.030656,3.5495117,7.0343623,36.424625,2.940528,9.41358,3.6516895,8.189619,4.282413,4.7770867,38.390656,27.72954,4.987904,7.5641375,3.460892,11.358706,3.707243,3.023147,7.175285,4.282413,3.5495117,15.043144,28.80987,3.8435476,38.220013,3.7407172,6.929288,2.9087682,3.2174385,2.940528,7.23189,3.5144346,3.5722525,7.693144,2.6668239,3.7641008,23.515797,7.5378566,3.1856787,7.0169253,1.852517,3.2726011,7.0169253,16.513355,2.9087682,3.2726011,3.8612785,4.282413,26.13765,6.8702517
2011-10-31,37.869446,11.119372,3.3545275,9.056195,11.888157,5.5737376,36.053307,4.360927,5.711274,20.622633,3.556567,6.243403,3.7255383,7.684478,6.4461966,33.25052,8.130149,8.831385,36.053307,38.154243,20.463184,5.4935036,36.74384,6.243403,32.78699,10.633311,7.684478,6.0225825,4.876828,5.20816,36.01008,5.9609833,29.563019,5.20816,8.130149,9.256146,5.426571,42.91127,20.277443,10.0294,6.3784246,8.464182,4.14939,4.4320254,13.043487,10.633311,5.281157,6.243403,7.0057316,6.9103627,41.94217,6.8244267,4.876828,9.448589,6.986304,6.243403,37.26699,4.483234,3.2615592,5.3876925,7.0057316,3.7251158,13.267146,10.731912,42.91127,4.479538,9.540239,10.0294,9.256146,5.622104,6.243403,5.249556,10.678101,4.578742,3.7255383,13.220052,10.632179,4.1466227,6.673509,20.463184,10.168414,6.8244267,6.0241528,3.2431805,3.7255383,6.243403,3.18965,3.317246,8.130149,3.3545275,5.20816,3.8110285,5.257128,8.772718,3.7255383,36.74384,33.753258,4.5722456,35.18326,12.667121,20.463184,3.158473,4.0580935,9.540239,9.540239,4.359319,6.4433513,5.5737376,35.051163,5.5737376,37.869446,7.133322,4.2042894,35.18326,6.5539284,3.632351,4.578742,6.736006,4.495901,13.267146,9.256146,36.053307,5.63286,6.349558,5.6057835,10.632179,6.243403,6.243403,9.256146,13.267146,4.1262097,11.119372,3.18965,3.18965,9.363736,5.384578,5.6547513,33.753258,3.18965,6.6149874,5.224188,7.1345444,6.082295,6.702145,36.01008,29.504578,6.0241528,7.33985,5.083493,10.632179,5.5320954,5.0551686,11.119372,5.426571,5.6218114,11.648247,33.80957,4.691767,43.34762,4.5840597,10.678101,3.18965,4.562714,3.18965,5.6320796,3.8216465,4.483234,9.37398,3.158473,4.165418,20.01321,8.25451,3.7251158,10.357783,2.1125479,3.317246,10.357783,13.220052,3.18965,3.317246,6.4433513,6.082295,30.326344,13.422706
